councilors,voted_proportion,votes,year,municipality_code,party,municipality,main_party,region
1,7.28,426,2019,8001,Cs,Abrera,Ciutadans,Barcelona
1,30.9,55,2011,17151,CiU,Riumors,CIU,Girona
3,12.56,6982,2003,25120,ERC-EV-AM,Lleida,ERC,Lleida
3,30.23,263,2003,8013,UPAFIC,Avinyonet del Penedès,Podem,Barcelona
1,11.46,11,2003,8142,EPM-EPM,Nou de Berguedà,Others,Barcelona
6,39.71,1029,2015,43131,CiU,Roda de Berà,CIU,Tarragona
2,19.62,375,2011,43903,ERC-AM,Camarles,ERC,Tarragona
2,18.49,221,2007,43137,PSC-PM,Sant Jaume dels Domenys,PSC,Tarragona
1,42.57,43,2019,25201,IxS-AM,Sarroca de Bellera,ERC,Lleida
5,69.12,150,2011,17041,ERC-AM,Cantallops,ERC,Girona
0,3.54,252,2019,25040,Cs,Balaguer,Ciutadans,Lleida
0,0.28,289,2019,8101,FC's,Hospitalet de Llobregat,Ciutadans,Barcelona
2,22.47,120,2003,8104,PSC-PM,Llacuna,PSC,Barcelona
8,50.17,1726,2019,8281,CaT - ERC - AM,Teià,ERC,Barcelona
3,33.62,195,2019,17050,JxCAT ¿ JUNTS,Cervià de Ter,JxC,Girona
0,2.63,117,2015,8250,CiU,Santa Margarida de Montbui,CIU,Barcelona
1,6.65,568,2007,8147,PP,Olesa de Montserrat,PP,Barcelona
3,22.86,730,2019,8264,PSC-CP,Sant Vicenç de Montalt,PSC,Barcelona
2,26.23,48,2011,8078,CiU,Espunyola,CIU,Barcelona
5,32.28,820,2011,17103,CiU,Maçanet de la Selva,CIU,Girona
1,8.4,53,2007,8097,ESQUERRA-AM,Gualba,ERC,Barcelona
2,14.85,500,2007,8023,ESQUERRA-AM,Bigues i Riells del Fai,ERC,Barcelona
1,10.24,312,2015,8248,PSC-CP,Santa Eulàlia de Ronçana,PSC,Barcelona
2,14.43,302,2011,8235,ICV-EUiA-E,Sant Pol de Mar,Podem,Barcelona
5,65.69,316,2019,43118,JxCAT-JUNTS,Pratdip,JxC,Tarragona
4,26.94,992,2015,25072,CiU,Cervera,CIU,Lleida
0,3.7,85,2011,8289,PP,Torrelles de Llobregat,PP,Barcelona
1,5.02,898,2011,8077,Esq-RI-GpE,Esplugues de Llobregat,Others,Barcelona
5,32.14,927,2007,25058,CIU,Borges Blanques,CIU,Lleida
0,3.33,13,2011,43116,AETPPRADES,Prades,Others,Tarragona
5,33.59,1342,2019,8300,TJxV-JUNTS,Viladecavalls,JxC,Barcelona
1,6.29,431,2003,8046,PP,Cardedeu,PP,Barcelona
0,6.16,13,2015,43135,PP,Salomó,PP,Tarragona
0,3.92,2,2015,25222,CP,Tiurana,PSC,Lleida
3,36.12,393,2019,25149,FO-AM,Oliana,ERC,Lleida
1,11.36,93,2003,8085,PSC-PM,Font-rubí,PSC,Barcelona
0,4.82,476,2011,8270,ICV-EUiA-E,Sitges,Podem,Barcelona
6,44.22,1362,2003,8244,P-EPM,Santa Coloma de Cervelló,Others,Barcelona
2,19.34,452,2003,8235,US-FIMC,Sant Pol de Mar,Others,Barcelona
5,27.76,1483,2007,25203,CIU,Seu d'Urgell,CIU,Lleida
2,26.09,66,2011,25165,PSC-PM,Peramola,PSC,Lleida
0,1.5,23,2007,17233,PP,Vilobí d'Onyar,PP,Girona
4,57.46,77,2007,25197,ESQUERRA-AM,Sant Guim de la Plana,ERC,Lleida
2,11.28,961,2015,8238,PSC-CP,Sant Quirze del Vallès,PSC,Barcelona
1,7.46,133,2011,17036,ERC-AM,Campdevànol,ERC,Girona
2,34.67,190,2019,8027,l'ec,Cabanyes,Others,Barcelona
0,0.09,656,2015,8019,PCPC,Barcelona,Podem,Barcelona
1,12.94,70,2011,17223,CiU,Vilajuïga,CIU,Girona
1,10.87,224,2007,43005,ERC-AM,Alcover,ERC,Tarragona
2,11.21,328,2015,8251,ERC-AM,Santa Margarida i els Monjos,ERC,Barcelona
1,8.23,448,2011,8105,CPLL,Llagosta,Others,Barcelona
1,14.43,332,2007,8175,ESQUERRA-AM,Puig-reig,ERC,Barcelona
